GEOID,ME,MELSAD,AQI_Good,Bachelor_Over_25,Per_Poverty,Gini,non_migration,Per_Sev_Hous,Xstreamlengthimpaired,Per_Avg_Land_Cov,poor_health_percent,Z_Water_Index,GHG_Percap,UNEMPLOY,FOOD_INS,VIO_CRIME,Broadband % population without access,Female_Inequality,Black_equality,Hispanic_equality,Asian_equality,,,,
13780,"Binghamton, NY","Binghamton, NY Metro Area",0.89,27.30,15.90,45.57,85.60,15.07,23.74,53.99,13.52,0.06,8.46,0.0728,12.29805505,274.8983478,0.06,0.968142474,0.782749778,0.9274182856,1.591229203,,,,
13820,"Birmingham-Hoover, AL","Birmingham-Hoover, AL Metro Area",0.48,29.40,15.70,48.02,85.70,15.07,7.59,57.46,18.39,0.01,17.58,0.0739,15.85156318,642.9374569,0.43,0.965965571,0.887196981,0.7706367837,1.600070243,,,,
13900,"Bismarck, ND","Bismarck, ND Metro Area",0.89,32.20,9.30,44.32,85.40,10.43,6.49,53.56,10.40,0.29,18.23,0.0258,6.380990147,233.1592226,0.06,0.986629219,1.014186750,0.8991859551,1.861884070,,,,
13940,"Blackfoot, ID","Blackfoot, ID Micro Area",0.89,19.30,13.10,39.74,87.10,13.37,15.14,79.37,16.70,0.02,15.64,0.0664,10.8,163.3211578,0.26,0.938635076,NA,0.7382421127,1.343154234,,,,
13980,"Blacksburg-Christiansburg-Radford, VA","Blacksburg-Christiansburg-Radford, VA Metro Area",0.85,33.20,20.70,47.38,79.00,15.84,19.29,66.28,13.08,0.05,17.44,0.0563,13.20773636,196.8728032,0.33,0.97098477,0.945871123,1.1953529210,1.926314266,,,,
14010,"Bloomington, IL","Bloomington, IL Metro Area",0.85,42.30,14.40,45.59,82.80,12.87,9.45,2.23,12.24,0.01,17.73,0.0487,11.93908262,278.9132089,0.20,0.95079354,0.809892120,0.7794680368,1.512543982,,,,
14020,"Bloomington, IN","Bloomington, IN Metro Area",0.78,40.70,23.50,49.81,70.10,20.68,45.73,22.27,14.59,0.01,21.58,0.0664,17.04123045,269.2598054,0.21,0.981934201,1.130959751,1.1105798520,1.637099091,,,,
14100,"Bloomsburg-Berwick, PA","Bloomsburg-Berwick, PA Metro Area",0.73,23.70,14.70,45.98,88.10,12.66,15.14,62.94,14.95,0.06,20.09,0.0531,12.15750796,196.3598589,0.31,0.98172004,0.910156263,0.9012687671,1.836115709,,,,
14140,"Bluefield, WV-VA","Bluefield, WV-VA Micro Area",0.83,17.90,19.10,46.92,87.60,11.98,24.03,63.10,25.67,0.04,15.53,0.0707,14.24051444,357.6449433,0.13,0.980941618,0.954386531,1.0980569700,2.214902185,,,,
14180,"Blytheville, AR","Blytheville, AR Micro Area",0.88,12.20,25.60,47.55,80.70,16.89,8.21,24.14,25.70,0.01,33.53,0.1093,24,987.169087,0.24,0.944329023,0.882111100,0.9119180731,2.687284704,,,,
14220,"Bogalusa, LA","Bogalusa, LA Micro Area",0.71,12.20,26.30,47.94,85.90,16.44,22.15,55.67,26.40,0.05,13.01,0.1310,18.2,677.8780036,0.97,0.991830289,0.866748453,0.7747033783,2.027904694,,,,
14260,"Boise City, ID","Boise City, ID Metro Area",0.67,30.90,13.80,45.79,82.40,15.78,14.03,82.58,13.91,0.02,10.65,0.0629,12.64357374,238.0079204,0.33,0.952636135,0.958318008,0.7345533183,1.345111333,,,,
14340,"Boone, IA","Boone, IA Micro Area",0.76,24.20,9.40,41.07,85.80,12.83,7.16,3.64,9.20,0.07,14.07,0.0429,10.5,276.757978,0.25,0.979107035,0.707427450,1.2083128750,1.740998175,,,,
14380,"Boone, NC","Boone, NC Micro Area",0.91,41.70,28.30,52.24,74.70,26.31,18.82,72.64,13.10,0.07,7.13,0.0885,17.8,120.795742,0.01,0.98451613,0.847894922,0.6265105593,0.761931051,,,,
14420,"Borger, TX","Borger, TX Micro Area",0.78,13.70,16.40,44.43,88.40,11.09,2.64,63.27,25.70,0.44,16.69,0.0488,16.1,482.7759618,0.06,0.945768366,0.825876434,0.8559593754,1.881925956,,,,
14460,"Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH Metro Area",0.56,46.40,10.00,48.07,86.30,18.22,44.42,47.70,11.33,0.07,8.94,0.0630,8.912914049,326.3887012,0.02,0.965407571,0.809343213,0.7535213315,1.309188048,,,,
14500,"Boulder, CO","Boulder, CO Metro Area",0.74,60.40,13.10,47.92,77.20,19.69,14.58,67.42,9.10,0.11,12.32,0.0560,11.9,242.3764358,0.06,0.939551463,0.901740566,0.7427330960,1.248819506,,,,
14540,"Bowling Green, KY","Bowling Green, KY Metro Area",0.78,25.10,18.70,46.74,79.30,15.18,13.03,30.45,19.01,0.04,20.83,0.0694,14.9515343,187.0379672,0.49,0.980754891,0.961852354,0.7138529911,1.171474602,,,,
14580,"Bozeman, MT","Bozeman, MT Micro Area",0.87,48.80,13.00,46.62,78.30,15.54,11.84,80.32,8.20,0.10,37.88,0.0527,12,225.7953464,0.17,0.967360607,0.946648288,0.7820245790,1.279884257,,,,
14620,"Bradford, PA","Bradford, PA Micro Area",0.73,17.40,17.30,44.84,86.90,11.35,10.86,84.86,19.20,0.04,25.45,0.0785,13.5,287.8040079,0.12,0.95892852,NA,1.0854331230,1.216557434,,,,
